latent_dim,mse
8,0.07643930698513984
16,0.05116956027388573
24,0.037672085295915606
32,0.029819259296655656
40,0.02616030800938606
48,0.021463559798002244
56,0.018853493800163268
64,0.01851083883970976
72,0.015544243344962598
80,0.014916100070178509
88,0.01526836465716362
96,0.01265668943285942
104,0.011294479023516178
112,0.008551484511941671
120,0.007526834427118301
128,0.007384678687304258
136,0.007267771366387605
144,0.0067257241316139695
152,0.006247985843718052
160,0.005114520533978939
168,0.006586223453879356
176,0.006933476294726133
184,0.00575169223383069
192,0.004631571915969253
200,0.005211252220422029
208,0.005725342568606138
216,0.005065217345505953
224,0.005523449618518353
232,0.011057529651224612
240,0.0052233996160328386
248,0.004822427728250623
